City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Paso De Los Toros,UY,2021-07-25 16:48:23,-32.8167,-56.5167,72.01,69,3,13.73
210,Salalah,OM,2021-07-25 16:45:33,17.0151,54.0924,78.89,94,75,8.05
211,Lorengau,PG,2021-07-25 16:48:20,-2.0226,147.2712,78.66,84,18,9.73
212,Cabo San Lucas,MX,2021-07-25 16:45:34,22.8909,-109.9124,94.17,65,3,6.49
213,Maiduguri,NG,2021-07-25 16:48:24,11.8464,13.1603,86.65,52,100,10.58
214,Lebu,CL,2021-07-25 16:48:24,-37.6167,-73.65,50.76,91,96,6.4
215,Sechura,PE,2021-07-25 16:48:24,-5.5569,-80.8222,75.72,61,14,7.09
216,Thinadhoo,MV,2021-07-25 16:44:10,0.5333,72.9333,82.49,68,57,2.46
217,Rabo De Peixe,PT,2021-07-25 16:48:25,37.8,-25.5833,74.71,73,40,13.8
218,Ust-Kuyga,RU,2021-07-25 16:48:25,70.0167,135.6,50.41,75,37,4.34
219,Beaverlodge,CA,2021-07-25 16:48:25,55.2166,-119.4361,63.75,36,98,7.81
220,Anadyr,RU,2021-07-25 16:48:11,64.75,177.4833,52.3,93,90,4.0
221,Mar Del Plata,AR,2021-07-25 16:46:50,-38.0023,-57.5575,59.09,64,75,8.01
222,Souillac,MU,2021-07-25 16:48:14,-20.5167,57.5167,71.98,56,40,11.5
223,Aden,YE,2021-07-25 16:46:33,12.7794,45.0367,82.51,74,66,11.63
224,Iquique,CL,2021-07-25 16:48:26,-20.2208,-70.1431,60.84,71,99,7.7
225,Cidreira,BR,2021-07-25 16:48:26,-30.1811,-50.2056,74.25,52,7,5.03
226,Bathsheba,BB,2021-07-25 16:48:26,13.2167,-59.5167,86.61,79,75,18.41
227,North Bend,US,2021-07-25 16:48:27,43.4065,-124.2243,66.85,88,90,3.44
228,Panaba,MX,2021-07-25 16:48:27,21.2833,-88.2667,94.53,41,85,10.6
229,Snasa,NO,2021-07-25 16:48:27,64.2457,12.3778,67.41,49,42,4.18
230,Guerrero Negro,MX,2021-07-25 16:44:08,27.9769,-114.0611,74.25,65,60,10.07
231,Sao Felix Do Xingu,BR,2021-07-25 16:48:28,-6.6447,-51.995,96.6,22,89,3.96
232,Nabire,ID,2021-07-25 16:48:28,-3.3667,135.4833,75.79,87,99,2.82
233,Broome,US,2021-07-25 16:48:28,42.2506,-75.833,83.7,77,40,1.99
234,Dikson,RU,2021-07-25 16:48:29,73.5069,80.5464,38.89,88,45,13.73
235,Chingola,ZM,2021-07-25 16:48:29,-12.529,27.8838,57.16,41,0,5.95
236,Xiuyan,CN,2021-07-25 16:48:29,40.2928,123.2744,70.84,90,46,1.3
237,Muyezerskiy,RU,2021-07-25 16:48:29,63.9333,31.65,64.18,58,91,3.13
238,Mitu,CO,2021-07-25 16:48:30,1.1983,-70.1733,71.47,98,100,1.48
239,Fort Nelson,CA,2021-07-25 16:45:16,58.8053,-122.7002,62.19,63,40,4.61
240,Olafsvik,IS,2021-07-25 16:48:30,64.8945,-23.7142,50.02,86,63,27.56
241,Port Lincoln,AU,2021-07-25 16:48:30,-34.7333,135.8667,55.15,86,29,16.91
242,Sorland,NO,2021-07-25 16:48:31,67.667,12.6934,53.67,86,100,4.34
243,Ballina,AU,2021-07-25 16:48:31,-28.8667,153.5667,48.78,71,1,3.44
244,Qiyang,CN,2021-07-25 16:48:31,26.5911,111.8474,79.48,77,60,2.55
245,Bukama,CD,2021-07-25 16:48:31,-9.2,25.85,74.91,33,2,5.01
246,Raudeberg,NO,2021-07-25 16:48:32,61.9875,5.1352,76.6,87,21,9.33
247,Kirksville,US,2021-07-25 16:47:43,40.1948,-92.5833,85.05,71,1,1.01
248,Nongan,CN,2021-07-25 16:48:32,44.382,125.1685,77.41,75,99,8.52
249,Hambantota,LK,2021-07-25 16:48:32,6.1241,81.1185,80.15,79,79,17.22
250,Kamina,CD,2021-07-25 16:48:33,-8.7386,24.9906,68.18,35,4,6.29
251,Dudinka,RU,2021-07-25 16:48:33,69.4058,86.1778,54.37,87,88,3.51
252,Kaeo,NZ,2021-07-25 16:46:01,-35.1,173.7833,59.32,96,98,5.73
253,Banda Aceh,ID,2021-07-25 16:48:33,5.5577,95.3222,80.55,82,91,5.75
254,Pontes E Lacerda,BR,2021-07-25 16:44:20,-15.2261,-59.3353,96.49,19,1,8.81
255,Puerto Colombia,CO,2021-07-25 16:48:34,10.9878,-74.9547,84.29,84,100,5.53
256,Ilinskiy,RU,2021-07-25 16:48:34,55.619,38.1182,73.98,38,0,2.24
257,Villarrica,PY,2021-07-25 16:48:34,-25.75,-56.4333,91.15,25,56,11.41
258,Tubarao,BR,2021-07-25 16:48:14,-28.4667,-49.0069,86.2,28,71,4.65
259,Paysandu,UY,2021-07-25 16:48:35,-32.3214,-58.0756,66.6,69,16,10.09
260,Te Anau,NZ,2021-07-25 16:48:35,-45.4167,167.7167,46.27,94,100,3.47
261,Voskevan,AM,2021-07-25 16:48:35,41.1202,45.0653,71.46,76,76,3.42
262,Jasper,US,2021-07-25 16:46:28,37.2001,-94.3502,92.01,71,75,1.99
263,Yantongshan,CN,2021-07-25 16:48:36,43.2919,126.0094,72.25,77,100,4.14
264,Betare Oya,CM,2021-07-25 16:48:36,5.6,14.0833,71.29,91,93,3.96
265,Necochea,AR,2021-07-25 16:48:36,-38.5473,-58.7368,53.04,83,100,18.12
266,Saint-Pierre,RE,2021-07-25 16:43:41,-21.3393,55.4781,69.48,68,20,11.5
267,Canto Do Buriti,BR,2021-07-25 16:48:37,-8.11,-42.9444,88.27,34,32,12.75
268,Tiksi,RU,2021-07-25 16:46:39,71.6872,128.8694,47.53,78,79,6.98
269,Pafos,CY,2021-07-25 16:48:37,34.7667,32.4167,84.24,78,0,13.8
270,Sao Joao Da Barra,BR,2021-07-25 16:48:37,-21.6403,-41.0511,78.89,59,0,15.05
271,Sudova Vyshnya,UA,2021-07-25 16:48:37,49.7889,23.3722,78.15,74,77,7.2
272,San Cristobal,VE,2021-07-25 16:45:56,7.7669,-72.225,71.78,56,100,5.32
273,Hofn,IS,2021-07-25 16:48:20,64.2539,-15.2082,53.62,82,40,13.8
274,Bam,IR,2021-07-25 16:48:38,29.106,58.357,94.95,6,0,11.99
275,General Pico,AR,2021-07-25 16:48:38,-35.6566,-63.7568,58.69,36,26,8.1
276,Songjianghe,CN,2021-07-25 16:48:38,42.1859,127.479,68.52,80,99,3.58
277,Afua,BR,2021-07-25 16:48:39,-0.1567,-50.3867,88.39,53,72,3.78
278,Pimentel,PE,2021-07-25 16:48:39,-6.8367,-79.9342,70.09,81,90,4.0
279,Victoria Point,AU,2021-07-25 16:48:39,-27.5833,153.3,53.19,72,41,1.01
280,Waipawa,NZ,2021-07-25 16:44:24,-41.4122,175.5153,54.45,79,100,11.7
281,Mercedes,AR,2021-07-25 16:48:40,-34.6515,-59.4307,57.63,73,89,9.82
282,Rawson,AR,2021-07-25 16:48:40,-43.3002,-65.1023,52.29,32,18,20.65
283,Omboue,GA,2021-07-25 16:47:04,-1.5746,9.2618,75.06,74,80,9.66
284,Sorong,ID,2021-07-25 16:48:40,-0.8833,131.25,77.09,83,100,7.29
285,Banyo,CM,2021-07-25 16:48:41,6.75,11.8167,69.31,92,98,2.42
286,Rundu,NA,2021-07-25 16:48:41,-17.9333,19.7667,63.54,35,0,7.16
287,Dunedin,NZ,2021-07-25 16:48:24,-45.8742,170.5036,49.8,66,100,11.99
