City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
181,Kungurtug,RU,50.5994,97.5228,62.1,82,83,0.94,broken clouds
182,Rumilly,FR,45.8667,5.95,70.41,94,90,2.3,overcast clouds
183,Porto Santo,PT,33.072,-16.3415,73.31,68,75,12.66,broken clouds
184,Fairbanks,US,64.8378,-147.7164,69.1,69,90,11.5,light rain
185,Fuerte Olimpo,PY,-21.0415,-57.8738,60.01,35,100,8.39,overcast clouds
186,Bonavista,CA,48.6499,-53.1147,65.12,97,100,15.52,light rain
187,Jiwani,PK,25.05,61.7417,82.33,88,100,9.64,overcast clouds
188,Tambura,SS,5.6,27.4667,67.62,96,100,2.28,overcast clouds
189,Sarnen,CH,46.8985,8.2507,68.11,92,90,0.0,overcast clouds
190,Esperance,AU,-33.8667,121.9,48.04,69,2,15.9,clear sky
191,Vostok,RU,46.4856,135.8833,87.64,52,41,2.98,scattered clouds
192,Diamantino,BR,-14.4086,-56.4461,80.19,44,100,12.37,overcast clouds
193,Tasiilaq,GL,65.6145,-37.6368,37.56,80,23,7.87,few clouds
194,Torbay,CA,47.6666,-52.7314,66.97,96,90,19.57,light intensity shower rain
195,Makasar,ID,-5.14,119.4221,75.25,83,20,3.44,few clouds
196,Surt,LY,31.2089,16.5887,78.64,67,0,10.02,clear sky
197,Crib Point,AU,-38.35,145.2,57.27,74,99,23.0,light rain
198,Te Anau,NZ,-45.4167,167.7167,50.94,75,100,3.13,overcast clouds
199,Quatre Cocos,MU,-20.2078,57.7625,68.09,90,100,16.82,moderate rain
200,Saint Anthony,US,45.0205,-93.218,92.98,60,1,3.0,clear sky
201,Byron Bay,AU,-28.65,153.6167,71.71,54,1,16.13,clear sky
202,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,thunderstorm
203,Gold Coast,AU,-28.0,153.4333,71.67,62,0,8.01,clear sky
204,Thenzawl,IN,23.3167,92.75,69.91,98,100,2.06,overcast clouds
205,Shingu,JP,33.7333,135.9833,83.39,55,99,2.57,overcast clouds
206,San Patricio,US,28.017,-97.5169,92.12,60,53,10.78,broken clouds
207,Provideniya,RU,64.3833,-173.3,50.11,87,90,15.66,moderate rain
208,Vila Velha,BR,-20.3297,-40.2925,71.55,88,0,8.05,clear sky
209,Kavaratti,IN,10.5669,72.642,81.99,77,100,19.98,overcast clouds
210,Rancho Palos Verdes,US,33.7445,-118.387,98.65,79,20,1.01,few clouds
211,Isangel,VU,-19.55,169.2667,78.91,57,40,9.22,scattered clouds
212,Baykit,RU,61.67,96.37,70.59,76,100,4.16,overcast clouds
213,Margate,GB,51.3813,1.3862,63.3,85,95,1.99,overcast clouds
214,Castro,BR,-24.7911,-50.0119,48.13,92,100,6.53,overcast clouds
215,Bang Mun Nak,TH,16.0278,100.3792,79.21,80,96,4.25,overcast clouds
216,Faya,SA,18.3851,42.4509,64.51,81,88,5.01,overcast clouds
217,Tabuk,PH,17.4189,121.4443,82.71,74,100,1.36,overcast clouds
218,Namibe,AO,-15.1961,12.1522,64.47,86,0,2.21,clear sky
219,Gat,IL,31.61,34.7642,81.28,100,0,1.1,clear sky
220,Jalu,LY,29.0331,21.5482,80.96,38,0,6.98,clear sky
221,Vardo,NO,70.3705,31.1107,48.4,86,97,15.32,overcast clouds
222,Ust-Kuyga,RU,70.0167,135.6,52.99,52,7,14.83,clear sky
223,Gambiran,ID,-6.7988,111.4951,77.63,70,17,4.85,few clouds
224,Zhangjiakou,CN,40.81,114.8794,74.95,74,100,4.47,overcast clouds
225,Kaitangata,NZ,-46.2817,169.8464,52.93,54,100,2.37,overcast clouds
226,Dalvik,IS,65.9702,-18.5286,49.93,99,100,4.59,overcast clouds
227,Luderitz,NA,-26.6481,15.1594,55.27,73,0,9.01,clear sky
228,Inuvik,CA,68.3499,-133.7218,65.26,63,75,3.44,broken clouds
229,Watertown,US,42.3709,-71.1828,74.05,90,90,5.75,moderate rain
230,Vernon,CA,50.2581,-119.2691,91.81,26,6,2.3,clear sky
231,Birmitrapur,IN,22.4,84.7667,74.41,96,100,10.25,overcast clouds
232,Tiznit,MA,29.5833,-9.5,69.69,71,0,2.06,clear sky
233,Namwala,ZM,-15.7504,26.4384,50.81,58,6,4.32,clear sky
234,Bambanglipuro,ID,-7.95,110.2833,78.21,76,78,6.44,broken clouds
235,Bow Island,CA,49.8668,-111.3684,90.61,33,77,3.44,broken clouds
236,Umm Lajj,SA,25.0213,37.2685,86.34,70,69,10.49,broken clouds
237,Tessalit,ML,20.1986,1.0114,86.5,44,100,12.93,overcast clouds
238,Pringsewu,ID,-5.3582,104.9744,76.78,71,57,1.72,broken clouds
239,Ambon,ID,-3.6954,128.1814,84.34,79,40,2.3,scattered clouds
240,Saint-Joseph,RE,-21.3667,55.6167,66.58,87,64,14.67,light rain
241,Rincon,US,32.296,-81.2354,85.12,86,75,6.91,broken clouds
242,Antsohihy,MG,-14.8796,47.9875,64.53,70,1,7.47,clear sky
243,Severo-Kurilsk,RU,50.6789,156.125,58.33,92,100,7.31,overcast clouds
244,Faanui,PF,-16.4833,-151.75,78.06,72,10,6.31,clear sky
245,Ternate,ID,0.8,127.4,83.55,74,35,5.93,scattered clouds
246,Hovd,MN,48.0056,91.6419,69.89,40,0,1.25,clear sky
247,Vilhena,BR,-12.7406,-60.1458,72.16,58,47,5.23,scattered clouds
248,Port Lincoln,AU,-34.7333,135.8667,54.9,62,21,27.13,few clouds
249,Birjand,IR,32.8663,59.2211,73.87,15,0,13.8,clear sky
250,Kaeo,NZ,-35.1,173.7833,65.32,73,96,7.56,overcast clouds
251,Jiaojiang,CN,28.6803,121.4428,82.0,85,54,11.79,light rain
252,Cap Malheureux,MU,-19.9842,57.6142,68.47,89,100,8.99,moderate rain
253,Havelock,US,34.8791,-76.9013,82.94,90,98,8.1,overcast clouds
254,Fremont,US,37.5483,-121.9886,97.99,52,20,3.0,few clouds
255,Westport,US,41.1415,-73.3579,80.82,75,75,8.01,thunderstorm
256,Puerto Escondido,MX,15.85,-97.0667,77.83,69,75,6.91,broken clouds
257,Lazo,RU,43.3817,133.9014,87.48,57,6,3.02,clear sky
258,La Tuque,CA,47.4334,-72.7824,66.45,45,99,3.44,overcast clouds
259,Assiniboia,CA,49.6334,-105.9845,98.51,10,82,14.97,broken clouds
260,Narsaq,GL,60.9167,-46.05,46.62,70,100,3.29,overcast clouds
261,Vrchlabi,CZ,50.627,15.6094,67.44,82,100,2.13,light rain
262,Lavrentiya,RU,65.5833,-171.0,44.26,99,100,10.2,moderate rain
263,Mizan Teferi,ET,6.9833,35.5833,60.33,94,100,2.1,overcast clouds
264,Husavik,IS,66.0449,-17.3389,49.91,99,100,9.28,overcast clouds
265,Chanika,TZ,-5.4167,38.0167,57.61,98,22,3.31,few clouds
266,Iqaluit,CA,63.7506,-68.5145,51.53,57,40,18.01,scattered clouds
267,Alofi,NU,-19.0595,-169.9187,80.49,69,75,5.75,broken clouds
268,Plettenberg Bay,ZA,-34.0527,23.3716,56.59,82,100,11.54,light rain
269,Englewood,US,39.6478,-104.9878,96.75,25,40,1.01,scattered clouds
270,Beringovskiy,RU,63.05,179.3167,49.15,89,100,11.52,light rain
271,Bluff,NZ,-46.6,168.3333,52.81,71,19,12.55,few clouds
272,Horni Slavkov,CZ,50.1386,12.8076,65.07,84,0,3.44,clear sky
273,Moree,AU,-29.4667,149.85,62.62,63,0,19.57,clear sky
274,Deputatskiy,RU,69.3,139.9,40.51,78,100,4.32,overcast clouds
275,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,0,12.66,clear sky
276,Nome,US,64.5011,-165.4064,50.16,93,90,14.97,light rain
277,Itarantim,BR,-15.6597,-40.0656,65.75,89,63,2.95,broken clouds
278,Keansburg,US,40.4418,-74.1299,85.53,58,2,1.99,clear sky
279,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,89,90,14.97,overcast clouds
280,Auki,SB,-8.7676,160.7034,85.51,61,94,3.4,overcast clouds
281,Fortuna,US,40.5982,-124.1573,81.19,93,1,5.75,clear sky
282,Ondjiva,AO,-17.0667,15.7333,51.3,38,10,7.65,clear sky
283,Port Augusta,AU,-32.5,137.7667,59.7,53,0,17.56,clear sky
284,Payo,ID,-3.7508,103.6372,74.39,63,55,1.54,broken clouds
285,Green Valley,US,31.8543,-110.9937,82.11,76,100,1.01,overcast clouds
286,Kaduna,NG,10.5222,7.4383,67.03,98,100,3.62,overcast clouds
287,Goderich,CA,43.7501,-81.7165,69.91,83,0,4.61,clear sky
288,Banjarmasin,ID,-3.3244,114.591,78.94,79,37,2.21,scattered clouds
289,Sosnovoborsk,RU,56.1325,93.3589,58.55,84,100,4.25,overcast clouds
290,San Quintin,MX,30.4833,-115.95,73.09,73,0,12.35,clear sky
291,Lagoa,PT,39.05,-27.9833,71.04,86,100,8.14,overcast clouds
292,Madison,US,34.7334,-86.5667,87.15,80,1,4.0,clear sky
293,Sitka,US,57.0531,-135.33,60.69,77,75,0.0,light rain
294,Hofn,IS,64.2539,-15.2082,53.91,84,100,7.63,overcast clouds
295,Yatou,CN,37.15,122.3833,83.75,63,77,7.31,light rain
296,Camacha,PT,33.0833,-16.3333,69.53,68,75,12.66,broken clouds
297,Port-Gentil,GA,-0.7193,8.7815,75.52,80,55,8.9,broken clouds
298,Crixas,BR,-14.5489,-49.9692,73.51,34,60,0.22,broken clouds
299,Alexandria,EG,31.2156,29.9553,78.76,83,0,8.05,clear sky
300,Bernay,FR,49.1667,0.6667,60.62,93,13,1.01,few clouds
301,Olafsvik,IS,64.8945,-23.7142,51.73,86,100,12.48,overcast clouds
302,Topolovgrad,BG,42.0833,26.3333,69.4,52,0,2.46,clear sky
303,Wick,GB,58.4333,-3.0833,55.45,100,90,11.5,fog
304,Lorengau,PG,-2.0226,147.2712,84.4,73,3,5.95,clear sky
305,Victoria,HK,22.2855,114.1577,91.96,85,100,1.01,overcast clouds
306,Zheshart,RU,62.0731,49.5733,46.9,77,100,7.02,overcast clouds
307,Saint-Louis,SN,16.3333,-15.0,82.04,70,17,16.13,few clouds
308,Mataram,ID,-8.5833,116.1167,77.81,66,49,8.55,scattered clouds
309,Miracema Do Tocantins,BR,-9.5618,-48.3967,76.17,38,0,2.86,clear sky
310,Naze,JP,28.3667,129.4833,81.52,86,52,12.35,broken clouds
311,Malino,PH,15.1257,120.6727,82.18,79,100,11.54,overcast clouds
312,Pasighat,IN,28.0667,95.3333,80.55,84,100,1.43,overcast clouds
313,Xapuri,BR,-10.6517,-68.5044,74.52,76,67,1.52,broken clouds
314,Sobolevo,RU,54.4299,31.8996,63.07,95,100,8.46,overcast clouds
315,Norman Wells,CA,65.282,-126.8329,71.64,43,75,8.05,broken clouds
316,Nhulunbuy,AU,-12.2333,136.7667,81.21,74,40,12.66,scattered clouds
317,Hirara,JP,24.8,125.2833,82.26,100,75,6.91,broken clouds
318,Bandar,ID,2.05,99.75,76.53,91,25,0.78,scattered clouds
319,Portland,US,45.5234,-122.6762,90.81,41,20,1.99,few clouds
320,Hervey Bay,AU,-25.2986,152.8535,71.71,71,100,12.21,overcast clouds
321,Cruz,BR,-2.9178,-40.1717,77.72,82,69,13.49,broken clouds
322,Padang,ID,-0.9492,100.3543,75.25,85,89,1.61,overcast clouds
323,Talnakh,RU,69.4865,88.3972,66.7,80,88,5.08,overcast clouds
324,Buchanan,LR,5.8808,-10.0467,76.33,80,100,8.55,overcast clouds
325,Roma,US,43.2128,-75.4557,71.11,86,90,6.91,overcast clouds
326,Grand Gaube,MU,-20.0064,57.6608,68.38,89,100,8.99,moderate rain
327,Qingdao,CN,36.0986,120.3719,82.0,74,40,8.95,light rain
328,Coahuayana,MX,18.7333,-103.6833,89.08,83,95,3.42,overcast clouds
329,Ostrovnoy,RU,68.0531,39.5131,52.09,79,100,4.65,overcast clouds
330,Toktogul,KG,41.8708,72.9402,74.3,52,0,0.45,clear sky
331,Ino,JP,33.55,133.4333,83.73,58,99,2.95,overcast clouds
332,Clyde River,CA,70.4692,-68.5914,50.23,71,90,8.05,overcast clouds
333,Maragogi,BR,-9.0122,-35.2225,73.62,88,2,5.14,clear sky
334,Dongying,CN,37.4564,118.4856,85.19,57,100,9.44,light rain
335,Shikohabad,IN,27.1,78.6,79.05,89,100,10.49,overcast clouds
336,Lichinga,MZ,-13.3128,35.2406,48.67,79,4,7.4,clear sky
337,Cayenne,GF,4.9333,-52.3333,82.09,83,0,4.0,clear sky
338,Sao Filipe,CV,14.8961,-24.4956,74.05,82,19,7.74,few clouds
339,Nouadhibou,MR,20.931,-17.0347,69.78,83,83,20.71,sand
340,Wuwei,CN,37.9281,102.6414,79.14,24,11,2.15,few clouds
341,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,2.3,clear sky
342,Walvis Bay,NA,-22.9575,14.5053,57.09,71,0,2.3,clear sky
343,Kati,ML,12.7441,-8.0726,76.41,80,97,2.57,light rain
344,Mana,GF,5.6592,-53.7767,77.18,89,10,8.12,clear sky
345,Bonthe,SL,7.5264,-12.505,76.87,84,100,11.03,overcast clouds
